Tue Dec  1 14:03:16 2020    prof/combined.prof

         6666021 function calls (6641966 primitive calls) in 14.234 seconds

   Ordered by: cumulative time
   List reduced from 1457 to 224 due to restriction <'^test_.*(\\(test_)'>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.018    0.018 test_categories_id.py:249(test_post_category_valid_body_xml_categories_id)
        1    0.000    0.000    0.018    0.018 test_todos.py:255(test_post_todo_invalid_body)
        1    0.000    0.000    0.018    0.018 test_projects_id.py:330(test_head_valid_project)
        1    0.000    0.000    0.018    0.018 test_todos_id_tasksof_id.py:206(test_delete_todo_project_project_does_not_exist)
        1    0.000    0.000    0.018    0.018 test_todos_id.py:270(test_post_todo_partial_body)
        1    0.000    0.000    0.018    0.018 test_categories_id.py:110(test_put_category_valid_body_xml)
        1    0.000    0.000    0.017    0.017 test_projects_id.py:43(test_get_project_xml)
        1    0.000    0.000    0.017    0.017 test_categories_id.py:42(test_get_category_xml)
        1    0.000    0.000    0.017    0.017 test_todos_id_tasksof.py:209(test_post_todos_projects_todo_project_does_not_exist)
        1    0.000    0.000    0.017    0.017 test_categories_id.py:400(test_options_category_ok)
        1    0.000    0.000    0.017    0.017 test_categories_id.py:16(test_get_category)
        1    0.000    0.000    0.017    0.017 test_todos_id_categories.py:197(test_post_todos_categories_todo_does_not_exist)
        1    0.000    0.000    0.017    0.017 test_todos_id.py:417(test_head_todo_ok)
        1    0.000    0.000    0.017    0.017 test_projects_id.py:353(test_head_invalid_project)
        1    0.000    0.000    0.017    0.017 test_todos_id_categories_id.py:245(test_delete_todo_category_category_does_not_exist)
        1    0.000    0.000    0.017    0.017 test_projects.py:122(test_post_project_valid_body)
        1    0.000    0.000    0.016    0.016 test_projects_id.py:90(test_project_valid_id_put)
        1    0.000    0.000    0.016    0.016 test_categories_id.py:470(test_patch_category_not_allowed)
        1    0.000    0.000    0.016    0.016 test_projects_id.py:262(test_delete_valid_project)
        1    0.000    0.000    0.016    0.016 test_categories_id_projects_id.py:208(test_delete_category_project_project_does_not_exist)
        1    0.000    0.000    0.016    0.016 test_projects_id.py:285(test_delete_invalid_project)
        1    0.000    0.000    0.016    0.016 test_projects_id.py:14(test_valid_id_get_response)
        1    0.000    0.000    0.016    0.016 test_projects_id_categories.py:15(test_get_project_empty_categories)
        1    0.000    0.000    0.016    0.016 test_projects_id.py:66(test_invalid_id_get_response)
        1    0.000    0.000    0.016    0.016 test_categories_id_projects.py:208(test_post_categories_projects_category_project_does_not_exist)
        1    0.000    0.000    0.016    0.016 test_categories_id.py:168(test_put_category_invalid_attribute)
        1    0.000    0.000    0.016    0.016 test_categories_id.py:361(test_delete_category)
        1    0.000    0.000    0.015    0.015 test_categories_id.py:79(test_put_category_valid_body)
        1    0.000    0.000    0.015    0.015 test_categories_id.py:140(test_put_category_invalid_body)
        1    0.000    0.000    0.015    0.015 test_categories_id.py:218(test_post_category_id_valid_body)
        1    0.000    0.000    0.015    0.015 test_categories_id.py:279(test_post_category_partial_body)
        1    0.000    0.000    0.015    0.015 test_todos.py:31(test_get_empty_response_xml_todos)
        1    0.000    0.000    0.014    0.014 test_projects_id.py:375(test_patch_not_allowed_projects_id)
        1    0.000    0.000    0.014    0.014 test_categories_id.py:311(test_post_category_invalid_attribute)
        1    0.000    0.000    0.013    0.013 test_todos.py:273(test_delete_not_allowed_todos)
        1    0.000    0.000    0.012    0.012 test_todos.py:283(test_options_ok_todos)
        1    0.000    0.000    0.012    0.012 test_todos_id.py:62(test_get_todo_does_not_exist)
        1    0.000    0.000    0.012    0.012 test_projects.py:224(test_post_project_valid_body_xml)
        1    0.000    0.000    0.011    0.011 test_todos_id.py:190(test_put_todo_does_not_exist)
        1    0.000    0.000    0.011    0.011 test_todos.py:125(test_post_todo_valid_body)
        1    0.000    0.000    0.011    0.011 test_categories_id.py:420(test_options_category_does_not_exist)
        1    0.000    0.000    0.011    0.011 test_todos.py:235(test_post_todo_valid_body_xml)
        1    0.000    0.000    0.010    0.010 test_todos_id_categories.py:284(test_options_todos_categories_ok)
        1    0.000    0.000    0.010    0.010 test_todos.py:293(test_head_ok_todos)
        1    0.000    0.000    0.010    0.010 test_todos.py:303(test_patch_not_allowed_todos)
        1    0.000    0.000    0.010    0.010 test_todos.py:16(test_get_empty_response_todos)
        1    0.000    0.000    0.010    0.010 test_todos_id.py:436(test_head_todo_does_not_exist)
        1    0.000    0.000    0.009    0.009 test_todos_id.py:368(test_delete_todo_does_not_exist)
        1    0.000    0.000    0.009    0.009 test_categories.py:271(test_delete_not_allowed_categories)
        1    0.000    0.000    0.009    0.009 test_projects.py:245(test_post_project_invalid_body)
        1    0.000    0.000    0.009    0.009 test_categories.py:253(test_post_category_invalid_body)
        1    0.000    0.000    0.009    0.009 test_projects.py:112(test_project_put_not_allowed)
        1    0.000    0.000    0.009    0.009 test_todos_id.py:328(test_post_todo_does_not_exist)
        1    0.000    0.000    0.009    0.009 test_todos_id_tasksof.py:237(test_post_todos_projects_todo_todo_does_not_exist)
        1    0.000    0.000    0.009    0.009 test_todos_id_tasksof.py:321(test_patch_todos_projects_not_allowed)
        1    0.000    0.000    0.009    0.009 test_projects.py:271(test_options_ok_projects)
        1    0.000    0.000    0.009    0.009 test_todos.py:115(test_put_not_allowed_todos)
        1    0.000    0.000    0.009    0.009 test_todos_id_categories.py:299(test_head_todos_categories_ok)
        1    0.000    0.000    0.009    0.009 test_todos_id_categories.py:105(test_put_todos_categories_not_allowed)
        1    0.000    0.000    0.008    0.008 test_categories_id.py:455(test_head_category_does_not_exist)
        1    0.000    0.000    0.008    0.008 test_categories.py:128(test_post_category_valid_body)
        1    0.000    0.000    0.008    0.008 test_todos_id_tasksof.py:95(test_get_todos_projects_todo_does_not_exist)
        1    0.000    0.000    0.008    0.008 test_todos_id_categories_id.py:299(test_patch_todos_category_not_allowed)
        1    0.000    0.000    0.008    0.008 test_categories.py:293(test_head_ok_categories)
        1    0.000    0.000    0.008    0.008 test_categories_id_projects_id.py:296(test_patch_category_project_not_allowed)
        1    0.000    0.000    0.008    0.008 test_todos_id_categories.py:88(test_get_todos_categories_does_not_exist)
        1    0.000    0.000    0.008    0.008 test_projects.py:291(test_patch_not_allowed_projects)
        1    0.000    0.000    0.008    0.008 test_categories_id_projects.py:238(test_post_categories_projects_category_category_does_not_exist)
        1    0.000    0.000    0.008    0.008 test_todos_id_tasksof_id.py:261(test_options_todo_project_ok)
        1    0.000    0.000    0.008    0.008 test_categories_id.py:196(test_put_category_does_not_exist)
        1    0.000    0.000    0.008    0.008 test_projects_id_tasks_id.py:257(test_project_id_tasks_id_head_not_allowed)
        1    0.000    0.000    0.008    0.008 test_todos_id_categories_id.py:284(test_head_todos_category_not_allowed)
        1    0.000    0.000    0.008    0.008 test_todos_id_categories.py:314(test_patch_todos_categories_not_allowed)
